,rentaldate,occupancy
559,2018-08-28,18.4375
560,2018-08-29,17.5
561,2018-08-30,15.9375
562,2018-08-31,23.125
563,2018-09-01,23.125
564,2018-09-02,22.5
565,2018-09-03,16.5625
566,2018-09-04,14.6875
567,2018-09-05,15.0
568,2018-09-06,15.3125
569,2018-09-07,16.875
570,2018-09-08,17.1875
571,2018-09-09,18.75
572,2018-09-10,20.9375
573,2018-09-11,21.25
574,2018-09-12,20.9375
575,2018-09-13,18.75
576,2018-09-14,17.8125
577,2018-09-15,17.5
578,2018-09-16,19.375
579,2018-09-17,18.4375
580,2018-09-18,17.1875
581,2018-09-19,16.5625
582,2018-09-20,17.5
583,2018-09-21,22.1875
584,2018-09-22,27.1875
585,2018-09-23,27.8125
586,2018-09-24,22.5
587,2018-09-25,23.4375
588,2018-09-26,26.5625
589,2018-09-27,25.9375
590,2018-09-28,29.6875
591,2018-09-29,34.6875
592,2018-09-30,44.375
593,2018-10-01,40.9375
594,2018-10-02,36.5625
595,2018-10-03,33.4375
596,2018-10-04,32.5
597,2018-10-05,34.6875
598,2018-10-06,27.1875
599,2018-10-07,28.75
600,2018-10-08,29.6875
601,2018-10-09,29.375
602,2018-10-10,27.1875
603,2018-10-11,24.6875
604,2018-10-12,31.5625
605,2018-10-13,30.0
606,2018-10-14,25.625
607,2018-10-15,25.0
608,2018-10-16,24.6875
609,2018-10-17,31.5625
610,2018-10-18,32.8125
611,2018-10-19,35.9375
612,2018-10-20,39.0625
613,2018-10-21,34.375
614,2018-10-22,25.9375
615,2018-10-23,25.0
616,2018-10-24,30.625
617,2018-10-25,30.0
618,2018-10-26,29.0625
619,2018-10-27,31.875
620,2018-10-28,35.0
621,2018-10-29,34.0625
622,2018-10-30,29.6875
623,2018-10-31,27.1875
624,2018-11-01,27.5
625,2018-11-02,29.0625
626,2018-11-03,31.875
627,2018-11-04,35.3125
628,2018-11-05,31.25
629,2018-11-06,29.375
630,2018-11-07,30.0
631,2018-11-08,30.625
632,2018-11-09,29.0625
633,2018-11-10,30.625
634,2018-11-11,31.5625
635,2018-11-12,27.8125
636,2018-11-13,25.3125
637,2018-11-14,22.5
638,2018-11-15,20.0
639,2018-11-16,22.8125
640,2018-11-17,26.875
641,2018-11-18,25.0
642,2018-11-19,23.125
643,2018-11-20,26.875
644,2018-11-21,27.8125
645,2018-11-22,25.9375
646,2018-11-23,30.0
647,2018-11-24,27.8125
648,2018-11-25,29.6875
649,2018-11-26,26.875
650,2018-11-27,21.25
